이름,연도,나이,출장,선발,이닝,투구,유망주,연차,가중이닝,가중출장,누적이닝,가중투구,선발불펜,큰수술경험,다음연도부상,비고
김범수,2018,23,55,3,48.1,930,1,1,72.4,68,0,1433,1,1,0,
김범수,2019,24,45,16,103,1976,1,2,152.17,91,0,2944.5,1,1,1,
김범수,2020,25,24,8,55,1091,0,3,151.15,83,0,2939.2,1,1,1,
진야곱,2015,26,47,14,102.2,1910,0,1,102.2,47,0,1910,1,1,0,허리
진야곱,2016,27,55,2,62,1184,0,2,133.54,87.9,0,2521,1,1,0,
엄상백,2015,19,28,22,100,1817,1,1,100,28,0,1817,0,0,0,
엄상백,2016,20,52,6,73.1,1409,1,2,143.1,71.6,0,2680.9,1,0,1,
엄상백,2017,21,52,0,52,891,1,3,153.17,102.4,0,2785.8,1,0,0,
엄상백,2018,22,55,0,46.1,796,1,4,119.05,117.4,0,2124.2,1,0,0,
엄상백,2019,23,26,0,31.1,645,1,5,89.37,90.5,0,1647.7,1,0,0,
이민호,2020,19,20,16,97.2,1712,1,1,97.2,20,0,1712,0,0,0,
김태훈,2015,25,1,0,0.1,10,0,0,0.1,1,0,10,1,1,1,
김태훈,2016,26,15,2,14.2,253,0,0,14.27,15.7,0,260,1,1,1,
김태훈,2017,27,21,6,41.1,773,0,1,51.09,32,0,955.1,1,1,0,
김태훈,2018,28,61,4,94,1455,0,2,129.87,83.2,0,2122.6,1,1,0,
김태훈,2019,29,71,0,69.2,1103,0,3,155.55,124.2,0,2508,1,1,1,
김태훈,2020,30,33,8,62,1108,0,4,157.44,113.2,0,2607.6,1,1,0,
박진형,2015,21,2,0,1.1,17,1,0,1.1,2,0,17,1,0,0,
박진형,2016,22,39,14,93,1829,1,1,93.77,40.4,0,1840.9,1,0,0,
박진형,2017,23,45,9,88,1575,1,2,153.65,73.3,0,2863.8,1,0,1,
박진형,2018,24,13,0,13,259,1,3,121.1,64,0,2276,1,0,1,
박진형,2019,25,41,0,40.1,638,0,4,93.2,72.6,0,1606.8,1,0,1,
박진형,2020,26,53,0,42.2,802,0,5,76.77,88.2,0,1378.1,1,0,0,
문성현,2014,23,20,17,85.1,1595,1,5,148.95,38.4,0,1595,0,0,0,
문성현,2015,24,34,13,91.2,1678,1,6,182.77,56.5,1,2794.5,1,0,0,
문성현,2018,27,1,0,1,19,0,9,1,1,1,19,1,1,1,어깨부상
문성현,2020,29,10,2,15,273,0,11,15.5,10.5,1,282.5,1,1,1,
유창식,2014,22,21,18,91.1,1710,1,3,196.49,52,0,1710,0,0,0,
유창식,2015,23,27,12,54.2,1072,1,4,153.57,54.2,0,2269,1,0,0,
김진우,2014,31,28,13,90.2,1688,0,13,245.07,56.8,1,1688,1,1,1,어깨
김진우,2015,32,4,2,13,230,0,14,139.19,35.6,1,1411.6,0,1,1,
김진우,2016,33,11,0,15,242,0,15,69.2,27.8,1,1247,1,1,1,
김진우,2017,34,14,8,36.1,712,0,16,53.1,23.7,1,996.4,0,1,1,
김세현,2014,27,34,1,45,929,0,6,176.27,69.3,0,929,1,1,0,십자인대
김세현,2015,28,57,4,90.1,1418,0,7,172.15,95.3,1,2068.3,1,1,0,
김세현,2016,29,62,0,62.1,894,0,8,147.67,118.9,1,2351.1,1,1,1,
김세현,2017,30,48,0,50,881,0,9,138.52,119.9,1,2215.8,1,1,0,
김세현,2018,31,40,0,40,696,0,10,106.05,104.6,1,1759.7,1,1,1,
김세현,2019,32,10,0,8.2,175,0,11,61.2,62,1,1102.7,1,1,0,
김세현,2020,33,42,0,42,751,0,12,67.74,69,1,1221.5,1,1,1,
홍건희,2015,23,38,7,82,1656,1,1,82,38,0,1656,1,0,1,
홍건희,2016,24,50,9,90.1,1631,1,2,147.5,76.6,0,2790.2,1,0,0,
홍건희,2017,25,31,2,59,1089,0,3,163.07,85,0,3058.7,1,0,1,
홍건희,2018,26,11,1,16.2,309,0,4,102.55,57.7,0,1886.8,1,0,0,
홍건희,2019,27,21,14,81.2,1441,0,5,122.04,44.2,0,2201.8,0,0,0,
홍건희,2020,28,60,0,68.2,1210,0,6,133.14,80.2,1,2373.2,1,0,0,
허준혁,2014,24,8,0,6.1,147,1,0,14.15,15.5,0,147,1,0,0,
허준혁,2015,25,16,14,63,1110,0,1,67.27,21.6,0,1212.9,0,0,0,
허준혁,2016,26,28,15,89.1,1562,0,2,136.25,43.2,0,2412.5,0,0,0,
허준혁,2018,28,1,1,1.2,43,0,4,45.75,15,0,824,0,0,0,
안우진,2018,19,20,5,41.1,770,1,1,41.1,20,0,770,1,0,1,
안우진,2019,20,19,15,88.1,1482,1,2,116.87,33,0,2021,0,0,1,
안우진,2020,21,42,0,36,579,1,3,118.22,65.3,0,2001.4,1,0,0,
한승혁,2014,21,26,6,58.2,1139,1,1,78.05,42.2,0,1139,1,1,0,토미존
한승혁,2015,22,49,0,56,980,1,2,106.24,72.7,0,1777.3,1,1,1,
한승혁,2016,23,36,0,33.1,610,1,3,101.4,83.3,0,1865.5,1,1,0,
한승혁,2017,24,36,0,39,749,1,4,90.17,85.7,0,1666,1,1,1,
한승혁,2018,25,21,19,88,1546,0,5,131.85,64.2,0,2375.3,0,1,1,
김성민,2017,23,33,15,87.2,1596,1,1,87.2,33,0,1596,1,0,0,
김성민,2018,24,46,1,48,850,1,2,109.04,69.1,0,1967.2,1,0,0,
김성민,2019,25,50,0,56.1,821,0,3,133.3,98.7,0,2214,1,0,0,
김성민,2020,26,25,0,23.2,423,0,4,86.47,83,0,1422.7,1,0,0,
송명기,2019,19,2,1,3,53,1,0,3,2,0,53,0,1,0,팔꿈치
송명기,2020,20,36,12,87.2,1514,1,1,89.3,37.4,0,1551.1,1,1,1,
양창섭,2018,19,19,17,87.1,1542,1,1,87.1,19,0,1542,0,0,1,팔꿈치
양창섭,2020,21,7,0,6.2,105,1,3,6.2,7,0,105,1,1,1,
임창용,2014,38,49,0,44.2,769,0,19,44.2,49,1,769,1,1,0,토미존
임창용,2015,39,55,0,54,858,0,20,84.94,89.3,1,1396.3,1,1,0,
임창용,2016,40,34,0,35,614,0,21,94.9,97,1,1599.1,1,1,0,
